2015-05-31,DGCIS,118507.11,22280.43,18800.9
2015-06-30,DGCIS,103518.22,21760.24,21020.6
2015-07-31,DGCIS,77002.03,21281.17,27637.1
2015-08-31,DGCIS,42693.41,14548.01,34075.5
2015-09-30,DGCIS,26832.52,13006.69,48473.6
2015-10-31,DGCIS,23353.65,10864.46,46521.4
2015-11-30,DGCIS,65939.09,30349.01,46025.8
2015-12-31,DGCIS,120008.07,39880.66,33231.6
2016-01-31,DGCIS,133425.37,20010.03,14997.1
2016-02-28,DGCIS,151909.55,20038.84,13191.2
2016-03-31,DGCIS,133851.89,16660.29,12446.8
2016-04-30,DGCIS,142767.95,17354.91,12156
2016-05-31,DGCIS,166035.85,19783.44,11915.1
2016-06-30,DGCIS,278672.29,35002.5,12560.4
2016-07-31,DGCIS,200781.27,25643.18,12771.6
2016-08-31,DGCIS,275685.25,34442.41,12493.3
2016-09-30,DGCIS,292438.87,43073.66,14729.1
2016-10-31,DGCIS,278438.04,44891.23,16122.5
2016-11-30,DGCIS,376163.36,60706.25,16138.2
2016-12-31,DGCIS,388839.6,57692.04,14836.9
2017-01-31,DGCIS,320741.62,41416.21,12912.6
2017-02-28,DGCIS,348070.04,39524.09,11355.2
